"rt","key_press","time_elapsed","olife","demographics","chosRoomID","chosRoomProb","chosRoomRews","chosRoomPlay","unchosRoomID","unchosRoomProb","unchosRoomRews","unchosRoomPlay","rewVal","rewCol","chosPie"
"514.9450000026263","37","163097","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4B1"
"652.1849999990081","39","167460","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"531.154999989667","37","171703","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"330.57499999995343","39","175752","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"721.2450000079116","39","180188","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4B1,4B2","0.3,0.7,0,0.2,0.7,0.1","1,2,1","a","10B1,10B2","0.6,0.4,0,0.2,0.73,0.07","-1,1,1","a","","",""
"595.1199999981327","39","182494","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4B2"
"408.3949999912875","37","186619","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4B1"
"366.67999999190215","39","190704","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"362.7100000012433","37","194778","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4B1"
"385.8849999960512","37","198879","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4B1,4B2","0.3,0.7,0,0.2,0.7,0.1","1,2,1","a","10B1,10B2","0.6,0.4,0,0.2,0.73,0.07","1,-1,1","s","","",""
"411.29999999247957","39","200994","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"561.8950000061886","37","205272","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4B1"
"375.1250000059372","39","209360","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"423.6349999991944","37","213498","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"554.8249999992549","39","217767","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A2,4A1","0.1,0.2,0.7,0,0.3,0.7","1,-1,1","a","20A2,20A1","0.15,0.2,0.65,0,0.78,0.22","-1,2,-1","s","","",""
"457.11000000301283","37","219933","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A2"
"402.5699999911012","39","224048","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"1484.1149999992922","37","229244","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A2"
"591.5200000017649","39","233550","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
"1687.2199999925215","39","238948","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A1,4A2","0,0.3,0.7,0.1,0.2,0.7","0,-1,1","s","20A1,20A2","0,0.78,0.22,0.15,0.2,0.65","-1,2,1","s","","",""
"266.6949999984354","37","240921","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"402.459999997518","37","245040","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
